1989 FIFA Futsal World Championship
8,Egypt,5,2,0,3,13,17,−4,6,
9,Brazil,4,3,1,0,33,9,+24,10,Eliminated in,Round of 16,
10,Italy,4,3,0,1,14,7,+7,9,
11,Kazakhstan,4,2,0,2,15,7,+8,6,
12,Colombia,4,1,3,0,8,7,+1,6,
13,Ukraine,4,2,0,2,8,7,+1,6,
14,Thailand,4,2,0,2,22,25,−3,6,
15,Costa Rica,4,1,1,2,7,11,−4,4,
16,Vietnam,4,1,0,3,5,18,−13,3,
17,Panama,3,1,0,2,6,14,−8,3,Eliminated in,Group stage,
18,Australia,3,1,0,2,5,16,−11,3,
19,Uzbekistan,3,0,1,2,5,11,−6,1,
20,Morocco,3,0,0,3,6,14,−8,0,
21,Guatemala,3,0,0,3,7,17,−10,0,
22,Cuba,3,0,0,3,7,22,−15,0,
23,Mozambique,3,0,0,3,7,22,−15,0,
24,Solomon Islands,3,0,0,3,5,21,−16,0,
2020 FIFA Futsal World Cup
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,Lithuania,(H),0,0,0,0,0,0,0,0,Knockout stage,
2,A2,0,0,0,0,0,0,0,0,
3,A3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,A4,0,0,0,0,0,0,0,0,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,B1,0,0,0,0,0,0,0,0,Knockout stage,
2,B2,0,0,0,0,0,0,0,0,
3,B3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,B4,0,0,0,0,0,0,0,0,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,C1,0,0,0,0,0,0,0,0,Knockout stage,
2,C2,0,0,0,0,0,0,0,0,
3,C3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,C4,0,0,0,0,0,0,0,0,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,D1,0,0,0,0,0,0,0,0,Knockout stage,
2,D2,0,0,0,0,0,0,0,0,
3,D3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,D4,0,0,0,0,0,0,0,0,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,E1,0,0,0,0,0,0,0,0,Knockout stage,
2,E2,0,0,0,0,0,0,0,0,
3,E3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,E4,0,0,0,0,0,0,0,0,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,
1,F1,0,0,0,0,0,0,0,0,Knockout stage,
2,F2,0,0,0,0,0,0,0,0,
3,F3,0,0,0,0,0,0,0,0,Possible,Knockout stage,
4,F4,0,0,0,0,0,0,0,0,
